Geography2,CalendarYear2,Water_System,PWSID_Number,Mean_Concentration,Concentration_Unit,People_Served,County_Code2
Armstrong,2018,RURAL VALLEY WATER WORKS,PA5030012,0.5,µg/L,"1,000",5
Armstrong,2018,MANOR TWP JT MUNI AUTH,PA5030006,0.5,µg/L,"6,744",5
Armstrong,2018,COWANSHANNOCK M A SAGAMORE SYS,PA5030022,0.5,µg/L,300,5
Armstrong,2018,BUFFALO TWP MUN AUTH FREEPORT,PA5030019,1,µg/L,"5,849",5
Armstrong,2018,COWANSHAN YATESBORO NUMINE SYS,PA5030047,0.5,µg/L,"1,200",5
Armstrong,2018,SUGAR CREEK RESTHOME,PA5030034,0.5,µg/L,176,5
Armstrong,2018,COWANSHANNOCK MA-MARGARET SYS,PA5030021,0.5,µg/L,95,5
Armstrong,2018,E ARMSTRONG CNTY MUNI AUTH,PA5030004,0.5,µg/L,"1,875",5
Armstrong,2018,PA-AMERICAN WATER CO-KITTANNIG,PA5030008,0.7,µg/L,"5,000",5
Beaver,2018,MUN WATER AUTH OF ALIQUIPPA,PA5040006,0.5,µg/L,"15,685",7
Beaver,2018,BEAVER FALLS MUNI AUTH,PA5040012,0.5,µg/L,"49,500",7
Beaver,2018,CENTER TWP WATER AUTH,PA5040007,0.5,µg/L,"19,000",7
Beaver,2018,PENN HILLS ESTATE OF ROCHESTER,PA5040050,1.5,µg/L,27,7
Beaver,2018,INDEPENDENCE PARK,PA5040019,1,µg/L,225,7
Beaver,2018,HARSHBARGER MHP,PA5040002,1.5,µg/L,90,7
Beaver,2018,MONACA BORO WATER DEPT,PA5040039,0.5,µg/L,"6,500",7
Beaver,2018,PINEHURST MOBILE ESTATES,PA5040011,0.5,µg/L,130,7
Beaver,2018,AMBRIDGE WATER AUTH,PA5040008,0.7,µg/L,"19,500",7
Beaver,2018,INDUSTRY BORO MUNI AUTH,PA5040036,1,µg/L,"1,865",7
Beaver,2018,CRESWELL HEIGHTS JT AUTH,PA5040063,0.5,µg/L,"15,000",7
Beaver,2018,BEAVER BORO MUNI AUTH,PA5040009,1,µg/L,"5,799",7
Bedford,2018,CRESTVIEW MHP,PA4050007,6.56,µg/L,55,9
Bedford,2018,EVERETT BORO MUNI AUTH,PA4050012,0.1,µg/L,"2,048",9
Bedford,2018,EVITTS CREEK WATER CO,PA4050028,0.19,µg/L,100,9
Bedford,2018,WATERSIDE LOYSBURG WATER SUPPL,PA4050035,0.86,µg/L,"1,700",9
Bedford,2018,FISHERTOWN WATER ASSN,PA4050029,0.19,µg/L,801,9
Bedford,2018,SNAKE SPRING TOWNSHIP MA,PA4050038,0.19,µg/L,750,9
Bedford,2018,BEDFORD TWP MUNI AUTH,PA4050037,0.19,µg/L,"1,125",9
Bedford,2018,COUNTRYSIDE ACRES LLC,PA4050005,3,µg/L,50,9
Bedford,2018,HILLSIDE TERRACE MHP,PA4050009,0.5,µg/L,240,9
Bedford,2018,BROOKWOOD COUNTRYSIDE,PA4050004,0.19,µg/L,200,9
Bedford,2018,DEFIANCE WATER ASSN,PA4050024,1.5,µg/L,390,9
Bedford,2018,NEW ENTERPRISE WATER ASSN,PA4050033,0.1,µg/L,443,9
Bedford,2018,ST CLAIRSVILLE WATER COMPANY,PA4050036,0.19,µg/L,392,9
Bedford,2018,W STCLAIR PLEASANTVILLE MUNI,PA4050020,0.19,µg/L,685,9
Bedford,2018,COALDALE SIX MILE RUN WATER,PA4050025,0.19,µg/L,320,9
Bedford,2018,BLUE KNOB WATER CO,PA4050001,5.7,µg/L,300,9
Bedford,2018,BRUSH CREEK COUNTRY ESTATES,PA4050008,9.95,µg/L,98,9
Berks,2018,HEREFORD EST MHP,PA3060037,0.7,µg/L,710,11
Berks,2018,MOHRSVILLE WATER ASSN,PA3060087,0.5,µg/L,375,11
Berks,2018,MEADOWS AT BETHEL MHP,PA3060106,0.5,µg/L,50,11
Berks,2018,AQUA PA GEIGERTOWN WATER SYS,PA3060030,3.7,µg/L,200,11
Berks,2018,WOMELSDORF ROBESONIA JT AUTH,PA3060080,2.5,µg/L,"7,070",11
Berks,2018,MAIDENCREEK TWP WATER AUTH,PA3060012,0.5,µg/L,"7,505",11
Berks,2018,HIGHLAND EST MHP,PA3060043,0.75,µg/L,"1,050",11
Berks,2018,VILLAGE AT SUMMIT CREST,PA3060108,0.5,µg/L,120,11
Berks,2018,AQUA PA STONECROFT,PA3060134,0.7,µg/L,600,11
Berks,2018,ABRAXAS ACADEMY,PA3060127,0.5,µg/L,156,11
Berks,2018,AQUA PA HILLCREST ESTATES II,PA3060133,6,µg/L,214,11
Berks,2018,KEYSTONE EAST MHP,PA3060061,0.5,µg/L,450,11
Berks,2018,LENAPE HILLS TRAILER PARK,PA3060016,0.5,µg/L,44,11
Berks,2018,GREEN ACRES MHP,PA3060042,0.5,µg/L,47,11
Berks,2018,PAW GOLDEN OAKS,PA3060126,0.7,µg/L,100,11
Berks,2018,BERKS HILL ESTATES,PA3060058,0.5,µg/L,66,11
Berks,2018,BETHANY CHILDRENS HOME,PA3060092,2.5,µg/L,200,11
Berks,2018,WILL O HILL APTS,PA3060036,0.5,µg/L,300,11
Berks,2018,OLEY TWP MUNI AUTH,PA3060053,0.5,µg/L,"2,204",11
Berks,2018,PARK PLACE COURT,PA3060026,0.5,µg/L,29,11
Berks,2018,FLEETWOOD BORO WATER SYSTEM,PA3060029,0.5,µg/L,"4,218",11
Berks,2018,MT PENN BORO MUNI AUTH,PA3060082,2.5,µg/L,"10,400",11
Berks,2018,BIRDSBORO MUNI WATER AUTH,PA3060010,0.5,µg/L,"5,353",11
Berks,2018,IRISH CREEK VILLAGE MHP,PA3060113,6,µg/L,90,11
Berks,2018,CAERNARVON TWP AUTH,PA3060052,2.5,µg/L,"4,245",11
Berks,2018,PAW GLEN ALSACE DIV,PA3060088,1.22,µg/L,"24,951",11
Berks,2018,VALLEY VIEW MHP WERNERSVILLE,PA3060073,0.5,µg/L,60,11
Berks,2018,TEEN CHALLENGE TRNG CTR,PA3060064,0.5,µg/L,300,11
Berks,2018,MT VILLAGE MHP,PA3060095,0.7,µg/L,771,11
Berks,2018,VALLEY VIEW MHP BLANDON,PA3060028,0.5,µg/L,50,11
Berks,2018,BALLY MUNI WATER WORKS,PA3060002,2.5,µg/L,"1,090",11
Berks,2018,WERNERSVILLE MUNI WATER AUTH,PA3060076,2.5,µg/L,"7,654",11
Berks,2018,SITTLERS MHP,PA3060044,0.5,µg/L,89,11
Berks,2018,WOODLAND MHP,PA3060004,0.7,µg/L,61,11
Berks,2018,BOYERTOWN MUNI AUTH,PA3060081,2.5,µg/L,"8,000",11
Berks,2018,MILLER MOBILE HOME PARK,PA3060068,2.5,µg/L,30,11
Berks,2018,LAUREL HEALTH RESOURCES,PA3060031,2.5,µg/L,240,11
Berks,2018,VALLEY RUN WATER SYSTEM,PA3060135,2.25,µg/L,626,11
Berks,2018,E&Y FARM APARTMENTS,PA3060129,2.5,µg/L,135,11
Berks,2018,ACORNS MHP,PA3060015,0.5,µg/L,50,11
Berks,2018,KUTZTOWN BOROUGH WATER,PA3060041,0.5,µg/L,"14,200",11
Berks,2018,AQUA PA SUPERIOR MEADOWBROOK,PA3060137,0.7,µg/L,250,11
Berks,2018,WESTERN BERKS WATER AUTH,PA3060066,0.5,µg/L,75,11
Berks,2018,BERKS LEISURE LIVING,PA3060132,8,µg/L,49,11
Berks,2018,SHOEMAKERSVILLE BORO WATER SYS,PA3060100,0.5,µg/L,"2,150",11
Berks,2018,AQUA PA FLYING HILLS WA SYS,PA3060018,1.43,µg/L,"3,600",11
Berks,2018,LYONS BORO,PA3060096,0.5,µg/L,500,11
Berks,2018,LAZY K CAMPGROUND,PA3060105,0.5,µg/L,75,11
Berks,2018,BERKLEIGH HEIGHTS MHP INC,PA3060040,2.5,µg/L,95,11
Berks,2018,TOPTON BORO WATER SUPPLY,PA3060072,2.5,µg/L,"2,069",11
Berks,2018,CHRISTMAN LAKE WATER SYSTEM,PA3060141,3,µg/L,80,11
Berks,2018,HERITAGE HILL ESTATE,PA3060065,0.5,µg/L,90,11
Berks,2018,PAW PENN DISTRICT,PA3060069,0.7,µg/L,"28,508",11
Berks,2018,BERNVILLE BOROUGH,PA3060085,6,µg/L,"1,010",11
Berks,2018,NORTH HEIDELBERG WATER SYSTEM,PA3060115,2.5,µg/L,"1,350",11
Berks,2018,HAMBURG MUNI WATER&SEWER AUTH,PA3060035,2.5,µg/L,"4,990",11
Berks,2018,MOUNTAIN SPRINGS MHP,PA3060118,2.5,µg/L,215,11
Berks,2018,READING AREA WATER AUTHORITY,PA3060059,2.5,µg/L,"87,000",11
Berks,2018,MUHLENBERG TWP MUNI AUTH,PA3060038,2.5,µg/L,"21,000",11
Berks,2018,LEESPORT BORO WATER AUTH,PA3060047,2.5,µg/L,"2,200",11
Berks,2018,LUTHERAN HOME AT TOPTON,PA3060094,0.5,µg/L,410,11
Berks,2018,AQUA PA EAST POINTE,PA3061153,0.7,µg/L,75,11
Berks,2018,BUCKINGHAM PRESERVE,PA3060136,2.5,µg/L,50,11
Blair,2018,APPLE BLOSSOM LANE MHP,PA4070050,0.23,µg/L,31,13
Blair,2018,ALTOONA WATER AUTHORITY,PA4070023,0.15,µg/L,"62,500",13
Blair,2018,DUNCANSVILLE MUNI WATER AUTH,PA4070012,0.3,µg/L,"2,350",13
Blair,2018,WESTWOOD PARK WATER CO,PA4070059,0.24,µg/L,95,13
Blair,2018,BLAIR MHP,PA4070016,0.19,µg/L,185,13
Blair,2018,ROARING SPRING MUNI WATER AUTH,PA4070019,0.19,µg/L,"3,182",13
Blair,2018,TYRONE BORO WATER AUTH,PA4070021,0.19,µg/L,"6,500",13
Blair,2018,BEL AIR PARK APTS,PA4070060,0.1,µg/L,44,13
Blair,2018,CURRYVILLE WATER AUTH,PA4070298,0.22,µg/L,85,13
Blair,2018,HILLCREST COMMUNITIES LP,PA4070045,0.19,µg/L,350,13
Blair,2018,DUNCANSVILLE MHP  LLC,PA4070013,0.36,µg/L,250,13
Blair,2018,BELLEMEAD CIVIC ASSN INC,PA4070025,0.1,µg/L,340,13
Blair,2018,GREENFIELD TWP MUNI AUTH,PA4070058,0.29,µg/L,"2,500",13
Blair,2018,GRAYSTONE MANOR,PA4070051,0.21,µg/L,96,13
Blair,2018,SPROUL WATER ASSN,PA4070047,0.19,µg/L,180,13
Blair,2018,AUTUMN EST,PA4070054,0.37,µg/L,35,13
Blair,2018,VAIL WATER ASSN,PA4070056,1.5,µg/L,98,13
Blair,2018,WILLIAMSBURG MUNIC AUTH,PA4070022,1.03,µg/L,"1,800",13
Blair,2018,ORE HILL WATER ASSN,PA4070297,0.1,µg/L,80,13
Blair,2018,BELLMEAD TOWNHOUSES,PA4070053,0.1,µg/L,90,13
Bradford,2018,KERRYVIEW MHP,PA2080004,0.25,µg/L,80,15
Bradford,2018,RIDGEBURY MOBILE MANOR,PA2080023,0.7,µg/L,38,15
Bradford,2018,HILLSIDE ACRES MHP,PA2080024,0.7,µg/L,45,15
Bradford,2018,HARTS MHP,PA2080012,0.4,µg/L,65,15
Bradford,2018,WOODSIDE TERRACE MHP,PA2080015,3,µg/L,84,15
Bradford,2018,WYALUSING MUNICIPAL AUTHORITY,PA2080034,0.7,µg/L,700,15
Bradford,2018,CANTON BOROUGH AUTHORITY,PA2080003,0.25,µg/L,"2,050",15
Bradford,2018,VILLAGE AT WHISPERING PINES,PA2080009,0.19,µg/L,93,15
Bradford,2018,ULSTER MUNICIPAL AUTHORITY,PA2080032,0.7,µg/L,500,15
Bradford,2018,DEMORGAN ACRES MHP,PA2080002,3.5,µg/L,90,15
Bradford,2018,BRADFORD COUNTY MANOR,PA2080033,3.3,µg/L,700,15
Bradford,2018,TOWANDA MUNICIPAL AUTHORITY,PA2080029,0.19,µg/L,"5,000",15
Bradford,2018,SHERWOOD RETIREMENT AND PCH,PA2080814,0.25,µg/L,32,15
Bradford,2018,TOWN AND COUNTRY ESTATES,PA2080019,0.25,µg/L,200,15
Bradford,2018,SEVEN HILLS MHP,PA2080011,0.1,µg/L,65,15
Bradford,2018,WYALUSING VALLEY RTRMNT & PCH,PA2080807,1.01,µg/L,59,15
Bradford,2018,AMERICAN MODERN HOMES,PA2080013,0.1,µg/L,100,15
Bradford,2018,AQUA PA SUSQUEHANNA DIVISION,PA2080028,0.7,µg/L,"15,569",15
Bradford,2018,MOBILE ACRES MHP,PA2080025,0.7,µg/L,100,15
Bradford,2018,ECHO BEACH MHP,PA2080017,5.59,µg/L,43,15
Bradford,2018,TROY WATER DEPTARTMENT,PA2080020,0.76,µg/L,"1,362",15
Bradford,2018,JACKSON MHP,PA2080027,0.7,µg/L,300,15
Bradford,2018,LERAYSVILLE WATER COMPANY,PA2080007,0.89,µg/L,360,15
Bucks,2018,DURHAM QUARTERS APTS,PA1090044,5,µg/L,25,17
Bucks,2018,BCWSA SOLEBURY,PA1090129,2.05,µg/L,"2,100",17
Bucks,2018,PLUMSTEAD TWP SUMMER HILL MEAD,PA1090157,2.5,µg/L,"1,284",17
Bucks,2018,RICHLAND TWP WATER AUTHORITY,PA1090131,2.67,µg/L,"6,800",17
Bucks,2018,PENNLAND FARMS,PA1090163,2.5,µg/L,452,17
Bucks,2018,PEDIATRIC SPECIALTY CARE,PA1090049,2.3,µg/L,56,17
Bucks,2018,AQUA PA BRISTOL,PA1090001,0.7,µg/L,"28,728",17
Bucks,2018,BUCKINGHAM TWP BUCK VILLAGE,PA1090145,0.7,µg/L,"1,050",17
Bucks,2018,DOYLESTOWN BORO WATER DEPT,PA1090081,0.98,µg/L,"8,700",17
Bucks,2018,LOWER BUCKS CO JOINT MUN AUTH,PA1090026,0.7,µg/L,"63,007",17
Bucks,2018,YORKSHIRE MEADOWS CONDO ASSOC,PA1090101,6.25,µg/L,90,17
Bucks,2018,SOLEBURY SCHOOL,PA1090030,2.5,µg/L,300,17
Bucks,2018,AQUA PA PEDDLERS VIEW,PA1090147,0.7,µg/L,600,17
Bucks,2018,HERMITAGE CONDOMINIUM ASSN,PA1090102,3.5,µg/L,75,17
Bucks,2018,PLUMSTEAD NORTHERN SYSTEM,PA1090144,2.5,µg/L,"2,605",17
Bucks,2018,PINE RUN,PA1090098,2,µg/L,700,17
Bucks,2018,NEWTOWN ARTESIAN WATER CO,PA1090043,0.7,µg/L,"38,500",17
Bucks,2018,TRUMBAUERSVILLE MUN WATERWORKS,PA1090091,0.7,µg/L,"1,057",17
Bucks,2018,NORTHAMPTON BUCKS CO MUN AUTH,PA1090089,1.02,µg/L,"36,750",17
Bucks,2018,FAMILY AND FRIENDS,PA1090055,0.7,µg/L,40,17
Bucks,2018,BUCKINGHAM TWP FIELDSTONE,PA1090123,0.7,µg/L,281,17
Bucks,2018,BUCKINGHAM TWP COLD SPRING,PA1090137,0.7,µg/L,"4,760",17
Bucks,2018,BCWSA NEW HOPE,PA1090130,3.33,µg/L,"3,017",17
Bucks,2018,UPPER MAKEFIELD ENCLAVE,PA1090121,2.5,µg/L,25,17
Bucks,2018,RED CLIFF MHP,PA1090048,0.5,µg/L,30,17
Bucks,2018,GREENTOP MOBILE HOME PARK,PA1090060,0.5,µg/L,120,17
Bucks,2018,MILFORD TWP WATER AUTHORITY,PA1090125,2.67,µg/L,"4,497",17
Bucks,2018,DTMA MAIN SYSTEM,PA1090128,1.15,µg/L,"8,655",17
Bucks,2018,WARRINGTON TWP WATER&SEW DEPT,PA1090070,7,µg/L,"21,588",17
Bucks,2018,UMH ARBOR ESTATES,PA1090007,0.5,µg/L,920,17
Bucks,2018,QUAKERTOWN BORO,PA1090082,1.3,µg/L,"12,800",17
Bucks,2018,OLDE COLONIAL GREENE,PA1090097,1,µg/L,900,17
Bucks,2018,BUCKINGHAM TWP MILL CR RIDGE,PA1090164,0.7,µg/L,99,17
Bucks,2018,MORRISVILLE MUNIC AUTHORITY,PA1090037,0.7,µg/L,"13,342",17
Bucks,2018,WARMINSTER MUNICIPAL AUTHORITY,PA1090069,0.7,µg/L,"40,000",17
Bucks,2018,PEDDLERS VILLAGE,PA1090153,0.7,µg/L,960,17
Bucks,2018,BOROUGH OF DUBLIN,PA1090107,4.8,µg/L,"2,200",17
Bucks,2018,BCWSA FOX RUN PRESERVE,PA1090160,1.68,µg/L,220,17
Bucks,2018,DURHAM VILLAGE RES ASSOC,PA1090099,0.5,µg/L,160,17
Bucks,2018,BUCKINGHAM VLY REHAB & NURSING,PA1090002,9.6,µg/L,190,17
Bucks,2018,UPPER SOUTHAMPTON MUN AUTH,PA1090063,2.5,µg/L,"16,000",17
Bucks,2018,NESHAMINY MANOR CENTER,PA1090093,2.8,µg/L,"2,100",17
Bucks,2018,PLUMSTEAD TWP DURHAM RIDGE,PA1090138,1.09,µg/L,714,17
Bucks,2018,PERKASIE REGIONAL AUTHORITY,PA1090046,7.34,µg/L,"15,000",17
Bucks,2018,AQUA PA CHALFONT,PA1090005,2.63,µg/L,"5,900",17
Bucks,2018,HILLTOWN TWP WATER&SEWER AUTH,PA1090117,1.39,µg/L,"5,770",17
Bucks,2018,VILLAGE 2 COMMUNITY ASSOC,PA1090040,6.3,µg/L,650,17
Bucks,2018,PA AMERICAN WATER CO YARDLEY,PA1090074,1.13,µg/L,"32,510",17
Bucks,2018,INGHAM MEWS CONDOMINUM ASSOC,PA1090103,6.46,µg/L,97,17
Bucks,2018,BEDMINSTER MUN AUTH,PA1090104,7,µg/L,"3,042",17
Bucks,2018,VILLAGE OF BUCKINGHAM SPRINGS,PA1090133,4.6,µg/L,"1,295",17
Bucks,2018,BUCKINGHAM TWP FURLONG,PA1090159,2.1,µg/L,"3,100",17
Bucks,2018,TWP OF UPPER MAKEFIELD,PA1090122,2.5,µg/L,"1,800",17
Bucks,2018,RICHLANDTOWN WATER DEPARTMENT,PA1090057,1,µg/L,"1,450",17
Butler,2018,AUTUMN GROVE CARE CENTER,PA5100045,0.7,µg/L,238,19
Butler,2018,CONCORDIA LUTHERAN HOME,PA5100025,0.7,µg/L,950,19
Butler,2018,ROBINSONS MOBILE HOME PARK,PA5100055,0.7,µg/L,36,19
Butler,2018,MAPLE MANOR MHP,PA5100071,0.5,µg/L,70,19
Butler,2018,MARION TWP WTP,PA5100099,0.5,µg/L,210,19
Butler,2018,SANDY HILL ESTATES,PA5100018,1,µg/L,300,19
Butler,2018,FRANKLIN MOBILE HOME VILLAGE,PA5100104,0.5,µg/L,150,19
Butler,2018,BRADY HILLS MHP,PA5100869,0.5,µg/L,400,19
Butler,2018,HARMONY BORO WATER AUTH,PA5100042,0.5,µg/L,"6,669",19
Butler,2018,CUPEC MOBILE ESTATES,PA5100087,0.7,µg/L,68,19
Butler,2018,YOUNGS MOBILE HOME PARK,PA5100143,2,µg/L,72,19
Butler,2018,BEACON LITE MOBILE ESTATES,PA5100017,0.5,µg/L,100,19
Butler,2018,SLIPPERY ROCK MUNI AUTH,PA5100079,0.5,µg/L,"15,778",19
Butler,2018,CORAL RIDGE ESTATES MHP,PA5100105,0.7,µg/L,200,19
Butler,2018,HY VUE ACRES MHP,PA5100016,0.7,µg/L,62,19
Butler,2018,CRYSTAL SPRINGS MHP,PA5100037,0.5,µg/L,30,19
Butler,2018,COYLEVILLE MOBILE COURT,PA5100036,0.5,µg/L,76,19
Butler,2018,VILLA VISTA ESTATES,PA5100084,1,µg/L,230,19
Butler,2018,BERNIES MOBILE HOME PARK,PA5100026,0.5,µg/L,170,19
Butler,2018,LAKEVIEW MOBILEHOME PARK,PA5100080,0.7,µg/L,44,19
Butler,2018,STONEWORTH APTS WTP,PA5100145,0.5,µg/L,150,19
Butler,2018,WOODBINE OAKS MHP,PA5100004,3.1,µg/L,65,19
Butler,2018,MARS BOROUGH WATER WORKS,PA5100049,0.5,µg/L,"1,956",19
Butler,2018,PINE VALLEY ESTATES,PA5100040,1.5,µg/L,70,19
Butler,2018,PA AMERICAN WATER CO BUTLER,PA5100012,0.7,µg/L,"43,044",19
Butler,2018,MILLERS WATER COMPANY,PA5100122,0.7,µg/L,"1,075",19
Butler,2018,PINEHURST MANOR MHP,PA5100015,0.5,µg/L,86,19
Butler,2018,SHELBOURNE PERSONAL CARE,PA5100133,0.5,µg/L,90,19
Butler,2018,PORT O CALL MHP,PA5100008,0.5,µg/L,286,19
Butler,2018,ROLLING VALLEY ESTATES,PA5100009,0.5,µg/L,180,19
Butler,2018,COLONIAL GARDENS GUEST HOME,PA5100132,0.5,µg/L,48,19
Butler,2018,PERRY LAKE ESTATES,PA5100043,0.5,µg/L,44,19
Butler,2018,SUTTON MHP,PA5100140,0.7,µg/L,100,19
Cambria,2018,HIGHLAND S & W AUTH BEAVERDAM,PA4110017,1.5,µg/L,"23,140",21
Cambria,2018,FEDERAL CORR INSTITUTE LORETTO,PA4110067,0.21,µg/L,"1,500",21
Cambria,2018,NANTY GLO WATER AUTH,PA4110023,0.5,µg/L,"4,076",21
Cambria,2018,CAMBRIA TWP WATER AUTH,PA4110006,0.19,µg/L,"1,000",21
Cambria,2018,CARROLLTOWN BORO MUNI AUTH,PA4110004,0.7,µg/L,850,21
Cambria,2018,CRESSON TWP MUNI AUTH,PA4110038,1.5,µg/L,"2,500",21
Cambria,2018,LILLY BOROUGH WATER AUTHORITY,PA4110046,0.19,µg/L,"1,388",21
Cambria,2018,SAINT FRANCIS UNIVERSITY,PA4110800,0.19,µg/L,"2,072",21
Cambria,2018,WEST CARROLL W AUTH BAKERTON,PA4110058,0.1,µg/L,670,21
Cambria,2018,GREATER JOHNSTOWN WA SALTLICK,PA4110014,1.5,µg/L,170,21
Cambria,2018,MARSTELLER COMM WATER AUTH,PA4110020,0.7,µg/L,75,21
Cambria,2018,TEAKETTLE RUN WATER AUTH,PA4110001,0.7,µg/L,92,21
Cambria,2018,READE TWP MUNI AUTH,PA4110297,0.7,µg/L,"1,746",21
Cambria,2018,PATTON BORO WATER DEPT,PA4110024,0.5,µg/L,"2,290",21
Cambria,2018,NORTHERN CAMBRIA MUNI WATER,PA4110003,1.5,µg/L,"4,500",21
Cambria,2018,HIGHLAND S&W AUTH NORTHERN END,PA4110016,1.5,µg/L,475,21
Cambria,2018,EBENSBURG BORO MUNI AUTH,PA4110009,0.19,µg/L,"8,500",21
Cambria,2018,HIGHLAND S & W AUTH LLOYDELL,PA4110015,1.5,µg/L,836,21
Cambria,2018,HASTINGS MUNI AUTH,PA4110013,0.7,µg/L,"2,100",21
