Geography,CalendarYear,Concentration_Group,Quarter_Group_Name,Systems_By_Max_Concentration,People_By_Max_Concentration,Systems_By_Mean_Concentration,People_By_Mean_Concentration,County_Code1
Lancaster,2009,> 10 to 20 mg/L,NoQuarter,10,"18,030",1,85,71
Lebanon,2009,> 10 to 20 mg/L,NoQuarter,1,400,0,0,75
York,2009,> 10 to 20 mg/L,NoQuarter,2,63,0,0,133
,,,,,,,,
Geography2,CalendarYear2,Water_System,PWSID_Number,Mean_Concentration,Concentration_Unit,People_Served,County_Code2,
Adams,2018,MOUNTAIN VIEW MHP,PA7010029,4.07,mg/L,180,1,
Adams,2018,CHESAPEAKE ESTATES MHP,PA7010041,3.6,mg/L,437,1,
Adams,2018,EISENHOWER WATER SUPPLY,PA7010048,1.53,mg/L,760,1,
Adams,2018,PA AMER WATER CO LAKE HERITAGE,PA7010035,2.9,mg/L,"1,648",1,
Adams,2018,EAGLE VIEW MHP,PA7010055,1.05,mg/L,230,1,
Adams,2018,THE VILLAGE OF LAUREL RUN,PA7010007,0.54,mg/L,250,1,
Adams,2018,CAVALRY HEIGHTS MHP,PA7010039,3.99,mg/L,80,1,
Adams,2018,WESTERN CUMBERLAND WATER SYS,PA7010038,0.1,mg/L,426,1,
Adams,2018,HILLSIDE REST HOME INC,PA7010006,1.92,mg/L,58,1,
Adams,2018,YORK SPRINGS MUNI WATER,PA7010030,2.77,mg/L,"1,095",1,
Adams,2018,PANORAMA MHP,PA7010028,3.12,mg/L,75,1,
Adams,2018,BIGLERVILLE WATER CO,PA7010020,2.76,mg/L,"2,501",1,
Adams,2018,POSSUM VALLEY MUNI AUTH,PA7010034,1.31,mg/L,550,1,
Adams,2018,FAIRFIELD MUNI AUTH,PA7010005,2.22,mg/L,"2,150",1,
Adams,2018,LITTLESTOWN BORO,PA7010022,3.18,mg/L,"7,300",1,
Adams,2018,BONNEAUVILLE MUNI WATER AUTH,PA7010012,2.39,mg/L,"2,730",1,
Adams,2018,LAKE MEADE MUNI AUTH,PA7010036,2.15,mg/L,"3,221",1,
Adams,2018,EAST BERLIN AREA JOINT AUTH,PA7010003,5,mg/L,"1,750",1,
Adams,2018,WALNUT GROVE MHP,PA7010053,0.1,mg/L,425,1,
Adams,2018,BENDERSVILLE MUNI AUTH,PA7010002,1.46,mg/L,"1,039",1,
Adams,2018,ANCHOR ESTATES,PA7010017,0.1,mg/L,300,1,
Adams,2018,CARROLL VALLEY WATER SYSTEM,PA7010033,2.5,mg/L,267,1,
Adams,2018,PINE RUN INC,PA7010052,3.09,mg/L,127,1,
Adams,2018,FRANKLIN TWP MUNI AUTH,PA7010032,3.9,mg/L,441,1,
Adams,2018,GETTYSBURG MUNI AUTH,PA7010019,1.97,mg/L,"12,425",1,
Adams,2018,ADAMS CNTY FAC CTR,PA7010056,2.46,mg/L,450,1,
Adams,2018,OAK VILLAGE,PA7010011,2.89,mg/L,225,1,
Adams,2018,CASTLE HILL MHP,PA7010014,0.1,mg/L,120,1,
Adams,2018,ROUND TOP MHP,PA7010046,3.36,mg/L,185,1,
Adams,2018,EASTERN CUMBERLAND WATER SYS,PA7010044,1.4,mg/L,150,1,
Adams,2018,NEW OXFORD MUNCI AUTH,PA7010025,3.4,mg/L,"3,963",1,
Adams,2018,NEW OXFORD MANOR MHP,PA7010023,1.03,mg/L,350,1,
Adams,2018,ARENDTSVILLE MUNI WATER SYS,PA7010001,3.5,mg/L,"1,200",1,
Adams,2018,HOFFMAN HOMES FOR YOUTHS INC,PA7010021,1.46,mg/L,270,1,
Adams,2018,AQUA PA LINKS AT GETTYSBURG SY,PA7010057,4,mg/L,398,1,
Allegheny,2018,WEST CNTY MUNI AUTH-MCKEESPORT,PA5020025,0.69,mg/L,"32,645",3,
Allegheny,2018,SPRINGDALE BORO WATER DEPT,PA5020053,1.08,mg/L,"3,405",3,
Allegheny,2018,WEST VIEW WATER AUTHORITY,PA5020043,0.77,mg/L,"200,000",3,
Allegheny,2018,BRACKENRIDGE BORO WATER DEPT,PA5020006,0.64,mg/L,"3,700",3,
Allegheny,2018,MOON TWP MUNI AUTH,PA5020011,0.69,mg/L,"38,000",3,
Allegheny,2018,TARENTUM BORO WATER DEPT,PA5020055,0.62,mg/L,"4,927",3,
Allegheny,2018,CORAOPOLIS WATER & SEWER AUTH,PA5020010,1.18,mg/L,"6,000",3,
Allegheny,2018,SEWICKLEY BORO WATER AUTH,PA5020050,3.46,mg/L,"6,800",3,
Allegheny,2018,HARRISON TWP WATER AUTH,PA5020108,0.61,mg/L,"13,411",3,
Allegheny,2018,HAMPTON SHALER WATER AUTHORITY,PA5020019,0.28,mg/L,"62,497",3,
Allegheny,2018,OAKMONT WATER AUTHORITY,PA5020036,0.63,mg/L,"40,299",3,
Allegheny,2018,SPRINGDALE TWP WATER DEPT,PA5020021,1.44,mg/L,"1,600",3,
Allegheny,2018,WILKINSBURG-PENN JT WATER AUTH,PA5020056,0.7,mg/L,"125,000",3,
Allegheny,2018,ROBINSON TWP MUNI AUTH,PA5020045,0.78,mg/L,"16,354",3,
Allegheny,2018,PA AMER WATER CO-PITTSBURGH,PA5020039,0.69,mg/L,"686,000",3,
Allegheny,2018,PITTSBURGH WATER & SEWER AUTH,PA5020038,0.64,mg/L,"520,000",3,
Allegheny,2018,HARMAR TWP MUNI AUTH,PA5020009,1.2,mg/L,"3,200",3,
Armstrong,2018,DAYTON MUNI WATER DEPT,PA5030002,0.1,mg/L,583,5,
Armstrong,2018,BRADYS BEND WATER & SEW AUTH,PA5030037,0.45,mg/L,625,5,
Armstrong,2018,PARKER AREA WATER AUTH,PA5030011,0.1,mg/L,900,5,
Armstrong,2018,TEMPLETON WATER CO,PA5030016,3.93,mg/L,474,5,
Armstrong,2018,FORD CITY MUNI WATER WORKS,PA5030005,1.86,mg/L,"2,991",5,
Armstrong,2018,WORTHINGTON WEST FRANKLIN JMA,PA5030027,0.77,mg/L,"1,500",5,
Armstrong,2018,KITTANNING SUBURB JT WATER AUT,PA5030043,0.52,mg/L,"8,000",5,
Armstrong,2018,RURAL VALLEY WATER WORKS,PA5030012,0.1,mg/L,"1,000",5,
Armstrong,2018,MANOR TWP JT MUNI AUTH,PA5030006,1.68,mg/L,"6,744",5,
Armstrong,2018,COWANSHANNOCK M A SAGAMORE SYS,PA5030022,0.1,mg/L,300,5,
Armstrong,2018,BUFFALO TWP MUN AUTH FREEPORT,PA5030019,0.1,mg/L,"5,849",5,
Armstrong,2018,COWANSHAN YATESBORO NUMINE SYS,PA5030047,0.1,mg/L,"1,200",5,
Armstrong,2018,SUGAR CREEK RESTHOME,PA5030034,0.1,mg/L,176,5,
Armstrong,2018,COWANSHANNOCK MA-MARGARET SYS,PA5030021,0.1,mg/L,95,5,
Armstrong,2018,E ARMSTRONG CNTY MUNI AUTH,PA5030004,0.1,mg/L,"1,875",5,
Armstrong,2018,PA-AMERICAN WATER CO-KITTANNIG,PA5030008,0.49,mg/L,"5,000",5,
Beaver,2018,MUN WATER AUTH OF ALIQUIPPA,PA5040006,0.62,mg/L,"15,685",7,
Beaver,2018,BEAVER FALLS MUNI AUTH,PA5040012,1.13,mg/L,"49,500",7,
Beaver,2018,COLONIAL GLENN ESTATES,PA5040026,0.05,mg/L,50,7,
Beaver,2018,GLASGOW MUNICIPAL WATER WORKS,PA5040059,1.08,mg/L,51,7,
Beaver,2018,CENTER TWP WATER AUTH,PA5040007,0.81,mg/L,"19,000",7,
Beaver,2018,PENN HILLS ESTATE OF ROCHESTER,PA5040050,0.23,mg/L,27,7,
Beaver,2018,LITTLE CREEK ESTATES M H P,PA5040051,1,mg/L,60,7,
Beaver,2018,FOREST BROOK MHP,PA5040048,0.51,mg/L,200,7,
Beaver,2018,SKY VIEW TERRACE,PA5040056,0.05,mg/L,50,7,
Beaver,2018,INDEPENDENCE PARK,PA5040019,0.03,mg/L,225,7,
Beaver,2018,HARSHBARGER MHP,PA5040002,0.68,mg/L,90,7,
Beaver,2018,COLE MOBILE HOME PARK,PA5040078,0.75,mg/L,70,7,
Beaver,2018,MONACA BORO WATER DEPT,PA5040039,3.84,mg/L,"6,500",7,
Beaver,2018,PINEHURST MOBILE ESTATES,PA5040011,0.03,mg/L,130,7,
Beaver,2018,LAKEVIEW PERSONAL CARE,PA5040847,0.2,mg/L,101,7,
Beaver,2018,KNOB VUE ESTATES,PA5040028,0.2,mg/L,150,7,
Beaver,2018,VANPORT TWP MUNI AUTH,PA5040055,2.79,mg/L,"1,450",7,
Beaver,2018,AMBRIDGE WATER AUTH,PA5040008,0.65,mg/L,"19,500",7,
Beaver,2018,WHISPERING WOODS,PA5040049,0.05,mg/L,100,7,
Beaver,2018,CRESWELL HEIGHTS JT AUTH,PA5040063,0.23,mg/L,"15,000",7,
Beaver,2018,BEAVER BORO MUNI AUTH,PA5040009,5.09,mg/L,"5,799",7,
Bedford,2018,CRESTVIEW MHP,PA4050007,1.96,mg/L,55,9,
Bedford,2018,EVERETT BORO MUNI AUTH,PA4050012,0.5,mg/L,"2,048",9,
Bedford,2018,BEDFORD BORO WATER AUTH,PA4050002,0.5,mg/L,"5,127",9,
Bedford,2018,EVITTS CREEK WATER CO,PA4050028,0.5,mg/L,100,9,
Bedford,2018,WATERSIDE LOYSBURG WATER SUPPL,PA4050035,0.5,mg/L,"1,700",9,
Bedford,2018,HYNDMAN BORO WATER DEPT,PA4050003,0.5,mg/L,"1,005",9,
Bedford,2018,FISHERTOWN WATER ASSN,PA4050029,3.18,mg/L,801,9,
Bedford,2018,SNAKE SPRING TOWNSHIP MA,PA4050038,2.86,mg/L,750,9,
Bedford,2018,WOODBURY WATER AUTHORITY,PA4050023,0.5,mg/L,295,9,
Bedford,2018,BEDFORD TWP MUNI AUTH,PA4050037,0.5,mg/L,"1,125",9,
Bedford,2018,COUNTRYSIDE ACRES LLC,PA4050005,3.22,mg/L,50,9,
Bedford,2018,HILLSIDE TERRACE MHP,PA4050009,0.5,mg/L,240,9,
Bedford,2018,SAXTON MUNI WATER AUTH,PA4050021,0.5,mg/L,"1,500",9,
Bedford,2018,BROOKWOOD COUNTRYSIDE,PA4050004,4.03,mg/L,200,9,
Bedford,2018,DEFIANCE WATER ASSN,PA4050024,3.25,mg/L,390,9,
Bedford,2018,NEW ENTERPRISE WATER ASSN,PA4050033,6.3,mg/L,443,9,
Bedford,2018,ST CLAIRSVILLE WATER COMPANY,PA4050036,0.5,mg/L,392,9,
Bedford,2018,RAINSBURG BOROUGH WATER,PA4050032,0.5,mg/L,225,9,
Bedford,2018,W STCLAIR PLEASANTVILLE MUNI,PA4050020,2.66,mg/L,685,9,
Bedford,2018,OSTERBURG WATER CO,PA4050030,0.5,mg/L,250,9,
Bedford,2018,COALDALE SIX MILE RUN WATER,PA4050025,1.22,mg/L,320,9,
Bedford,2018,BLUE KNOB WATER CO,PA4050001,0.5,mg/L,300,9,
Bedford,2018,BRUSH CREEK COUNTRY ESTATES,PA4050008,0.5,mg/L,98,9,
Berks,2018,HEREFORD EST MHP,PA3060037,2.41,mg/L,710,11,
Berks,2018,MOHRSVILLE WATER ASSN,PA3060087,2.67,mg/L,375,11,
Berks,2018,GEISINGERS MHP,PA3060005,1.8,mg/L,90,11,
Berks,2018,MEADOWS AT BETHEL MHP,PA3060106,3.46,mg/L,50,11,
Berks,2018,LE MA KE DE MOBILE CT,PA3060034,1,mg/L,90,11,
Berks,2018,AQUA PA GEIGERTOWN WATER SYS,PA3060030,0.1,mg/L,200,11,
Berks,2018,WOMELSDORF ROBESONIA JT AUTH,PA3060080,1.55,mg/L,"7,070",11,
Berks,2018,MAIDENCREEK TWP WATER AUTH,PA3060012,4.85,mg/L,"7,505",11,
Berks,2018,HIGHLAND EST MHP,PA3060043,4.93,mg/L,"1,050",11,
Berks,2018,VILLAGE AT SUMMIT CREST,PA3060108,0.1,mg/L,120,11,
Berks,2018,AQUA PA STONECROFT,PA3060134,3.23,mg/L,600,11,
Berks,2018,ABRAXAS ACADEMY,PA3060127,1.13,mg/L,156,11,
Berks,2018,AQUA PA HILLCREST ESTATES II,PA3060133,1.5,mg/L,214,11,
Berks,2018,KEYSTONE EAST MHP,PA3060061,3.17,mg/L,450,11,
Berks,2018,LENAPE HILLS TRAILER PARK,PA3060016,5.76,mg/L,44,11,
Berks,2018,GREEN ACRES MHP,PA3060042,4.83,mg/L,47,11,
Berks,2018,PAW GOLDEN OAKS,PA3060126,2.44,mg/L,100,11,
Berks,2018,URBAN ACRES MHP,PA3060070,1.42,mg/L,80,11,
Berks,2018,BERKS HILL ESTATES,PA3060058,0.1,mg/L,66,11,
Berks,2018,BETHANY CHILDRENS HOME,PA3060092,1,mg/L,200,11,
Berks,2018,WILL O HILL APTS,PA3060036,4.85,mg/L,300,11,
Berks,2018,OLEY TWP MUNI AUTH,PA3060053,3.61,mg/L,"2,204",11,
Berks,2018,MAXATAWNY TWP MUNI AUTH,PA3060013,4.57,mg/L,425,11,
Berks,2018,PARK PLACE COURT,PA3060026,3.55,mg/L,29,11,
Berks,2018,COUNTRY VIEW MHP,PA3060048,4.23,mg/L,98,11,
Berks,2018,FLEETWOOD BORO WATER SYSTEM,PA3060029,1.83,mg/L,"4,218",11,
Berks,2018,MT PENN BORO MUNI AUTH,PA3060082,1,mg/L,"10,400",11,
Berks,2018,HICKORY FARM MHP,PA3060112,0.1,mg/L,70,11,
Berks,2018,BIRDSBORO MUNI WATER AUTH,PA3060010,0.18,mg/L,"5,353",11,
Berks,2018,IRISH CREEK VILLAGE MHP,PA3060113,1,mg/L,90,11,
Berks,2018,CAERNARVON TWP AUTH,PA3060052,2.38,mg/L,"4,245",11,
Berks,2018,PAW GLEN ALSACE DIV,PA3060088,2.77,mg/L,"24,951",11,
Berks,2018,VILLAGE OF PLEASANT HILL,PA3060032,4.21,mg/L,"1,200",11,
Berks,2018,VALLEY VIEW MHP WERNERSVILLE,PA3060073,4.89,mg/L,60,11,
Berks,2018,TEEN CHALLENGE TRNG CTR,PA3060064,0.1,mg/L,300,11,
Berks,2018,MT VILLAGE MHP,PA3060095,2.88,mg/L,771,11,
Berks,2018,VALLEY VIEW MHP BLANDON,PA3060028,3.46,mg/L,50,11,
Berks,2018,BALLY MUNI WATER WORKS,PA3060002,2.29,mg/L,"1,090",11,
Berks,2018,WERNERSVILLE MUNI WATER AUTH,PA3060076,2.62,mg/L,"7,654",11,
Berks,2018,SITTLERS MHP,PA3060044,0.11,mg/L,89,11,
Berks,2018,SK PROPERTIES LP MISTY MEADOWS,PA3060131,2.86,mg/L,60,11,
Berks,2018,WOODLAND MHP,PA3060004,0.73,mg/L,61,11,
Berks,2018,BOYERTOWN MUNI AUTH,PA3060081,1,mg/L,"8,000",11,
Berks,2018,MILLER MOBILE HOME PARK,PA3060068,2.02,mg/L,30,11,
Berks,2018,LAUREL HEALTH RESOURCES,PA3060031,3.34,mg/L,240,11,
Berks,2018,VALLEY RUN WATER SYSTEM,PA3060135,3.22,mg/L,626,11,
Berks,2018,E&Y FARM APARTMENTS,PA3060129,4.48,mg/L,135,11,
Berks,2018,ACORNS MHP,PA3060015,2.03,mg/L,50,11,
Berks,2018,KUTZTOWN BOROUGH WATER,PA3060041,4.75,mg/L,"14,200",11,
Berks,2018,AQUA PA SUPERIOR MEADOWBROOK,PA3060137,1.9,mg/L,250,11,
Berks,2018,WESTERN BERKS WATER AUTH,PA3060066,5.05,mg/L,75,11,
Berks,2018,BERKS LEISURE LIVING,PA3060132,2.21,mg/L,49,11,
Berks,2018,SHOEMAKERSVILLE BORO WATER SYS,PA3060100,1.64,mg/L,"2,150",11,
Berks,2018,AQUA PA FLYING HILLS WA SYS,PA3060018,2.17,mg/L,"3,600",11,
Berks,2018,LYONS BORO,PA3060096,2.76,mg/L,500,11,
Berks,2018,LAZY K CAMPGROUND,PA3060105,2.06,mg/L,75,11,
Berks,2018,BERKLEIGH HEIGHTS MHP INC,PA3060040,7.3,mg/L,95,11,
Berks,2018,TOPTON BORO WATER SUPPLY,PA3060072,1.72,mg/L,"2,069",11,
Berks,2018,CHRISTMAN LAKE WATER SYSTEM,PA3060141,2.69,mg/L,80,11,
Berks,2018,HERITAGE HILL ESTATE,PA3060065,0.1,mg/L,90,11,
Berks,2018,PAW PENN DISTRICT,PA3060069,4.06,mg/L,"28,508",11,
Berks,2018,BERNVILLE BOROUGH,PA3060085,2.82,mg/L,"1,010",11,
Berks,2018,NORTH HEIDELBERG WATER SYSTEM,PA3060115,2.34,mg/L,"1,350",11,
Berks,2018,HAMBURG MUNI WATER&SEWER AUTH,PA3060035,1,mg/L,"4,990",11,
Berks,2018,MOUNTAIN SPRINGS MHP,PA3060118,1,mg/L,215,11,
Berks,2018,READING AREA WATER AUTHORITY,PA3060059,3.43,mg/L,"87,000",11,
Berks,2018,MUHLENBERG TWP MUNI AUTH,PA3060038,3.05,mg/L,"21,000",11,
Berks,2018,LEESPORT BORO WATER AUTH,PA3060047,4.07,mg/L,"2,200",11,
Berks,2018,LUTHERAN HOME AT TOPTON,PA3060094,0.5,mg/L,410,11,
Berks,2018,AQUA PA EAST POINTE,PA3061153,2.9,mg/L,75,11,
Berks,2018,BUCKINGHAM PRESERVE,PA3060136,7.97,mg/L,50,11,
Blair,2018,APPLE BLOSSOM LANE MHP,PA4070050,2.72,mg/L,31,13,
Blair,2018,ALTOONA WATER AUTHORITY,PA4070023,0.5,mg/L,"62,500",13,
Blair,2018,DUNCANSVILLE MUNI WATER AUTH,PA4070012,2.05,mg/L,"2,350",13,
Blair,2018,WESTWOOD PARK WATER CO,PA4070059,0.5,mg/L,95,13,
Blair,2018,BLAIR MHP,PA4070016,0.5,mg/L,185,13,
Blair,2018,ROARING SPRING MUNI WATER AUTH,PA4070019,5.56,mg/L,"3,182",13,
Blair,2018,TYRONE BORO WATER AUTH,PA4070021,0.5,mg/L,"6,500",13,
Blair,2018,BEL AIR PARK APTS,PA4070060,0.5,mg/L,44,13,
Blair,2018,CURRYVILLE WATER AUTH,PA4070298,6.09,mg/L,85,13,
Blair,2018,HENRIETTA MUTUAL WATER ASSN,PA4070026,0.5,mg/L,165,13,
Blair,2018,HILLCREST COMMUNITIES LP,PA4070045,1.57,mg/L,350,13,
Blair,2018,DUNCANSVILLE MHP  LLC,PA4070013,0.5,mg/L,250,13,
Blair,2018,BELLEMEAD CIVIC ASSN INC,PA4070025,0.5,mg/L,340,13,
Blair,2018,MARTINSBURG MUNI AUTH,PA4070030,3.55,mg/L,"3,160",13,
Blair,2018,FREDERICKSBURG WATER ASSN,PA4070031,0.5,mg/L,300,13,
Blair,2018,GREENFIELD TWP MUNI AUTH,PA4070058,0.5,mg/L,"2,500",13,
Blair,2018,GRAYSTONE MANOR,PA4070051,0.5,mg/L,96,13,
Blair,2018,SPROUL WATER ASSN,PA4070047,3.5,mg/L,180,13,
Blair,2018,AUTUMN EST,PA4070054,0.78,mg/L,35,13,
Blair,2018,VAIL WATER ASSN,PA4070056,0.75,mg/L,98,13,
Blair,2018,WILLIAMSBURG MUNIC AUTH,PA4070022,1.35,mg/L,"1,800",13,
Blair,2018,ORE HILL WATER ASSN,PA4070297,4.58,mg/L,80,13,
Blair,2018,EAST SHARPSBURG WATER ASSN,PA4070033,0.5,mg/L,95,13,
Bradford,2018,KERRYVIEW MHP,PA2080004,4.01,mg/L,80,15,
Bradford,2018,RIDGEBURY MOBILE MANOR,PA2080023,0.64,mg/L,38,15,
Bradford,2018,HILLSIDE ACRES MHP,PA2080024,0.1,mg/L,45,15,
Bradford,2018,HARTS MHP,PA2080012,0.5,mg/L,65,15,
Bradford,2018,WOODSIDE TERRACE MHP,PA2080015,0.5,mg/L,84,15,
Bradford,2018,WYALUSING MUNICIPAL AUTHORITY,PA2080034,1.03,mg/L,700,15,
Bradford,2018,CANTON BOROUGH AUTHORITY,PA2080003,1.69,mg/L,"2,050",15,
Bradford,2018,VILLAGE AT WHISPERING PINES,PA2080009,0.5,mg/L,93,15,
Bradford,2018,ULSTER MUNICIPAL AUTHORITY,PA2080032,2.4,mg/L,500,15,
Bradford,2018,DEMORGAN ACRES MHP,PA2080002,0.51,mg/L,90,15,
Bradford,2018,BRADFORD COUNTY MANOR,PA2080033,0.1,mg/L,700,15,
Bradford,2018,TOWANDA MUNICIPAL AUTHORITY,PA2080029,1.17,mg/L,"5,000",15,
Bradford,2018,SHERWOOD RETIREMENT AND PCH,PA2080814,2.34,mg/L,32,15,
Bradford,2018,TOWN AND COUNTRY ESTATES,PA2080019,0.05,mg/L,200,15,
Bradford,2018,SEVEN HILLS MHP,PA2080011,0.5,mg/L,65,15,
Bradford,2018,WYALUSING VALLEY RTRMNT & PCH,PA2080807,0.5,mg/L,59,15,
Bradford,2018,AMERICAN MODERN HOMES,PA2080013,0.5,mg/L,100,15,
Bradford,2018,AQUA PA SUSQUEHANNA DIVISION,PA2080028,0.1,mg/L,"15,569",15,
Bradford,2018,MOBILE ACRES MHP,PA2080025,1.36,mg/L,100,15,
Bradford,2018,ECHO BEACH MHP,PA2080017,0.5,mg/L,43,15,
Bradford,2018,TROY WATER DEPTARTMENT,PA2080020,1.74,mg/L,"1,362",15,
Bradford,2018,JACKSON MHP,PA2080027,0.5,mg/L,300,15,
Bradford,2018,LERAYSVILLE WATER COMPANY,PA2080007,0.5,mg/L,360,15,
Bucks,2018,DURHAM QUARTERS APTS,PA1090044,1,mg/L,25,17,
Bucks,2018,BCWSA SOLEBURY,PA1090129,2.29,mg/L,"2,100",17,
Bucks,2018,PLUMSTEAD TWP SUMMER HILL MEAD,PA1090157,1,mg/L,"1,284",17,
Bucks,2018,RICHLAND TWP WATER AUTHORITY,PA1090131,0.5,mg/L,"6,800",17,
Bucks,2018,RICHLAND MEADOWS MHP,PA1090052,0.25,mg/L,750,17,
Bucks,2018,RIEGELSVILLE WATER AUTHORITY,PA1090058,2.67,mg/L,980,17,
Bucks,2018,CHERRY MOBILE HOME PARK,PA1090053,1.23,mg/L,62,17,
Bucks,2018,PENNLAND FARMS,PA1090163,1,mg/L,452,17,
Bucks,2018,PEDIATRIC SPECIALTY CARE,PA1090049,0.39,mg/L,56,17,
